split,profile,task_count,task_ratio
train,cpu_preproc,7999,0.3718735471873547
train,gpu_infer,4989,0.23193863319386332
train,gpu_train,4637,0.21557415155741516
train,hybrid_analytics,3885,0.1806136680613668
val,cpu_preproc,1957,0.43105726872246697
val,gpu_infer,1027,0.2262114537444934
val,gpu_train,766,0.16872246696035242
val,hybrid_analytics,790,0.17400881057268722
test,cpu_preproc,1068,0.38088445078459343
test,gpu_infer,695,0.2478601997146933
test,gpu_train,534,0.19044222539229672
test,hybrid_analytics,507,0.18081312410841655
benchmark,cpu_preproc,459,0.39331619537275064
benchmark,gpu_infer,325,0.27849185946872324
benchmark,gpu_train,187,0.16023993144815768
benchmark,hybrid_analytics,196,0.16795201371036847
