group_id,group_size,num_tasks,workflow_ids
group_000,10,88,"job_10302,job_11225,job_11820,job_1195,job_11957,job_1196,job_12030,job_12669,job_12674,job_12675"
group_001,10,81,"job_12680,job_12681,job_12683,job_12686,job_12688,job_12690,job_12692,job_12882,job_12887,job_12890"
group_002,10,93,"job_12951,job_175,job_1822,job_3081,job_3083,job_3086,job_3093,job_3094,job_3099,job_3104"
group_003,10,134,"job_3105,job_3120,job_3127,job_3129,job_3135,job_3137,job_3147,job_3149,job_3153,job_3315"
group_004,10,76,"job_3779,job_3782,job_4796,job_4798,job_4809,job_4811,job_4813,job_4816,job_4819,job_4821"
group_005,10,78,"job_4823,job_4825,job_4827,job_4829,job_4831,job_4833,job_4835,job_4838,job_4840,job_4842"
group_006,10,69,"job_4844,job_4846,job_4848,job_4852,job_4856,job_4859,job_4861,job_4863,job_4865,job_4867"
group_007,10,70,"job_4880,job_4882,job_4884,job_4886,job_4888,job_4891,job_4895,job_4898,job_4900,job_4903"
group_008,10,82,"job_4905,job_4909,job_4912,job_4919,job_4921,job_4927,job_4929,job_4932,job_4935,job_4937"
group_009,10,79,"job_4941,job_4945,job_4947,job_4949,job_4952,job_4954,job_4960,job_4962,job_4964,job_4968"
group_010,10,72,"job_4971,job_4973,job_4976,job_4982,job_4987,job_4991,job_506,job_6159,job_6262,job_674"
group_011,10,85,"job_678,job_680,job_683,job_6837,job_6842,job_9021,job_9025,job_9028,job_9031,job_9034"
group_012,10,107,"job_9038,job_9042,job_9045,job_9048,job_9051,job_9054,job_9057,job_9061,job_9065,job_9068"
dropped,0,11,job_9071
dropped,0,11,job_9074
dropped,0,10,job_9080
dropped,0,7,job_9090
dropped,0,7,job_9118
dropped,0,7,job_9119
